ID,FARE
1.0,-30.83
2.0,-22.45
3.0,64.94
4.0,-30.64
5.0,35.61
6.0,203.45
7.0,389.84
8.0,38.53
9.0,268.3
10.0,64.19
11.0,62.04
12.0,353.8
13.0,43.75
14.0,105.0
15.0,-5.45
16.0,-22.09
17.0,422.7
18.0,-2.55
19.0,505.68
20.0,41.97
21.0,-12.92
22.0,32.31
23.0,98.94
24.0,345.55
25.0,367.21
26.0,94.14
27.0,-37.57
28.0,1126.85
29.0,215.65
30.0,85.22
31.0,664.93
32.0,799.43
33.0,-32.25
34.0,447.3
35.0,157.82
36.0,-0.85
37.0,27.86
38.0,84.33
39.0,53.55
40.0,92.96
41.0,535.09
42.0,658.04
43.0,-6.22
44.0,52.04
45.0,31.98
46.0,109.83
47.0,62.26
48.0,510.62
49.0,-18.82
50.0,83.67
51.0,851.89
52.0,92.84
53.0,-4.75
54.0,857.28
55.0,83.28
56.0,197.05
57.0,-14.07
58.0,1223.19
59.0,362.36
60.0,695.32
61.0,29.87
62.0,-11.11
63.0,-1.95
64.0,77.71
65.0,308.29
66.0,27.08
67.0,40.57
68.0,20.15
69.0,526.56
70.0,82.19
71.0,855.03
72.0,92.75
73.0,1123.31
74.0,377.6
75.0,80.05
76.0,-10.44
77.0,-7.23
78.0,-21.87
79.0,-11.66
80.0,609.17
81.0,475.82
82.0,53.26
83.0,570.1
84.0,36.69
85.0,684.67
86.0,59.61
87.0,26.68
88.0,1119.49
89.0,33.12
90.0,295.39
91.0,91.17
92.0,997.43
93.0,953.36
94.0,-10.54
95.0,50.31
96.0,50.08
97.0,370.56
98.0,34.95
99.0,1152.37
100.0,881.75
101.0,426.69
102.0,959.18
103.0,976.1
104.0,30.26
105.0,65.05
106.0,510.44
107.0,53.98
108.0,677.57
109.0,450.65
110.0,103.14
111.0,62.66
112.0,144.02
113.0,29.15
114.0,137.84
115.0,-53.73
116.0,29.09
117.0,33.99
118.0,-9.57
119.0,464.99
120.0,423.45
121.0,213.32
122.0,79.59
123.0,629.17
124.0,41.69
125.0,871.08
126.0,105.91
127.0,34.3
128.0,31.93
129.0,578.45
130.0,92.48
131.0,354.75
132.0,127.45
133.0,1021.47
134.0,209.22
135.0,64.3
136.0,622.0
137.0,30.76
138.0,55.48
139.0,655.91
140.0,7.14
141.0,547.81
142.0,67.49
143.0,56.26
144.0,-10.6
145.0,-25.7
146.0,38.83
147.0,646.95
148.0,795.19
149.0,83.34
150.0,459.1
151.0,-3.41
152.0,64.41
153.0,747.1
154.0,272.97
155.0,49.26
156.0,594.64
157.0,848.66
158.0,-8.02
159.0,330.95
160.0,1121.74
161.0,77.69
162.0,38.47
163.0,57.67
164.0,-9.32
165.0,830.29
166.0,235.43
167.0,907.6
168.0,0.29
169.0,1117.84
170.0,493.79
171.0,544.7
172.0,601.1
173.0,83.53
174.0,13.03
175.0,89.18
176.0,-22.02
177.0,383.46
178.0,976.12
179.0,43.62
180.0,-16.29
181.0,831.4
182.0,17.44
183.0,69.62
184.0,45.27
185.0,-4.02
186.0,516.11
187.0,438.51
188.0,496.0
189.0,437.09
190.0,396.22
191.0,31.97
192.0,600.92
193.0,-5.96
194.0,46.97
195.0,830.73
196.0,-19.05
197.0,36.71
198.0,460.18
199.0,49.8
200.0,142.09
201.0,62.28
202.0,61.74
203.0,171.78
204.0,35.72
205.0,71.67
206.0,65.55
207.0,118.67
208.0,762.32
209.0,52.28
210.0,80.09
211.0,1264.61
212.0,-18.32
213.0,79.07
214.0,873.07
215.0,488.14
216.0,6.67
217.0,352.78
218.0,1107.28
219.0,39.73
220.0,563.5
221.0,53.58
222.0,33.76
223.0,728.7
224.0,37.97
225.0,801.83
226.0,70.67
227.0,50.61
228.0,905.47
229.0,49.28
230.0,40.46
231.0,504.97
232.0,501.84
233.0,254.23
234.0,1111.59
235.0,313.58
236.0,55.04
237.0,-7.74
238.0,-6.1
239.0,73.62
240.0,351.51
241.0,54.9
242.0,571.16
243.0,77.68
244.0,99.21
245.0,65.59
246.0,697.7
247.0,184.12
248.0,10.34
249.0,-3.25
250.0,323.33
251.0,-13.21
252.0,905.42
253.0,479.91
254.0,-35.48
255.0,511.06
256.0,-19.16
257.0,808.34
258.0,811.8
259.0,2.74
260.0,-20.36
261.0,289.4
262.0,104.33
263.0,6.07
264.0,63.89
265.0,473.75
266.0,16.2
267.0,107.46
268.0,-12.04
269.0,375.06
270.0,866.13
271.0,21.06
272.0,-2.88
273.0,3.07
274.0,49.98
275.0,48.52
276.0,1158.53
277.0,35.69
278.0,-3.64
279.0,489.41
280.0,76.76
281.0,77.48
282.0,1197.08
283.0,238.41
284.0,1021.22
285.0,17.78
286.0,31.41
287.0,51.72
288.0,371.77
289.0,434.65
290.0,85.24
291.0,407.1
292.0,620.41
293.0,718.83
294.0,21.52
295.0,816.18
296.0,212.98
297.0,73.07
298.0,1193.78
299.0,1121.96
300.0,62.67
301.0,610.81
302.0,10.66
303.0,43.7
304.0,616.52
305.0,-27.75
306.0,68.76
307.0,21.88
308.0,152.94
309.0,-26.22
310.0,72.97
311.0,1037.86
312.0,1218.23
313.0,245.42
314.0,491.32
315.0,696.74
316.0,180.69
317.0,624.2
318.0,19.32
319.0,13.51
320.0,48.3
321.0,-25.95
322.0,1024.24
323.0,85.43
