ID,TIMESTAMP,STARTING_LATITUDE,STARTING_LONGITUDE,DESTINATION_LATITUDE,DESTINATION_LONGITUDE,VEHICLE_TYPE,TOTAL_LUGGAGE_WEIGHT,WAIT_TIME,TRAFFIC_STUCK_TIME,DISTANCE,FARE,CITY,mean_lat,mean_long,HOUR,MIN,MONTH,YEAR,DAY,DATE,SPL,AC
1,2016-01-21 06:59:49,-0.04467700000000008,0.264277000000007,-0.17822800000000072,0.3367229999999921,0,-100.0,-100.0,8,34,32.09,0.0,13.0,80.5,6,59,1,2016,3,21,0,0
2,2016-06-17 22:23:30,-0.1395799999999987,-0.07411299999999699,-0.08728800000000092,0.02869399999998734,1,7.0,9.0,66,34,985.99,5.0,28.5,77.0,22,23,6,2016,4,17,1,1
3,2016-03-16 04:55:18,0.1261189999999992,0.030430000000009727,0.15034400000000048,0.00741299999999967,2,18.0,6.0,53,1,1085.33,3.0,25.5,83.0,4,55,3,2016,2,16,1,0
4,2016-04-26 18:10:09,-100.0,-100.0,-100.0,-100.0,3,-100.0,-100.0,54,31,56.21,-100.0,-100.0,-100.0,18,10,4,2016,1,26,0,1
5,2016-06-22 01:51:35,-0.04350600000000071,0.05372699999999497,-0.20669600000000088,0.07047800000000848,0,-100.0,-100.0,33,44,30.62,4.0,22.5,88.5,1,51,6,2016,2,22,0,0
6,2016-03-18 15:57:21,0.29324300000000036,-0.3826360000000051,0.2696450000000006,-0.3385030000000029,4,-100.0,-100.0,23,43,59.82,2.0,19.5,72.5,15,57,3,2016,4,18,0,1
7,2015-11-04 16:26:53,0.48727300000000184,-0.3723320000000001,0.35288200000000103,-0.3417270000000059,2,22.0,0.0,61,34,586.36,2.0,19.5,72.5,16,26,11,2015,2,4,1,0
8,2015-11-05 08:51:13,0.05557899999999982,-0.14589300000000094,0.12277199999999944,-0.19488199999999267,0,-100.0,-100.0,28,18,32.27,1.0,13.0,77.5,8,51,11,2015,3,5,0,0
9,2016-08-15 14:41:00,0.1953230000000019,0.012990000000002055,0.11205899999999858,0.009979999999998768,1,12.0,18.0,69,43,1122.08,3.0,25.5,83.0,14,41,8,2016,0,15,1,1
10,2015-01-23 09:36:02,-0.037006999999999124,0.05273100000000852,-0.07840200000000053,0.09552300000000002,3,-100.0,-100.0,17,19,23.54,4.0,22.5,88.5,9,36,1,2015,4,23,0,1
11,2015-01-09 05:18:51,0.4831649999999996,-0.3494150000000076,0.2655329999999978,-0.3410910000000058,1,17.0,19.0,39,41,901.34,2.0,19.5,72.5,5,18,1,2015,4,9,1,1
12,2016-12-24 06:37:29,0.23572099999999807,-0.01236999999999,0.11701099999999798,-0.017661000000003924,0,-100.0,-100.0,33,23,50.4,3.0,25.5,83.0,6,37,12,2016,5,24,0,0
13,2016-07-09 06:18:46,0.08897900000000014,0.24556099999999503,0.06316600000000072,0.2639130000000023,5,-100.0,-100.0,24,14,34.62,0.0,13.0,80.5,6,18,7,2016,5,9,0,0
14,2016-02-01 00:32:57,0.3807299999999998,-0.37814300000000856,0.46803799999999995,-0.3459920000000096,3,-100.0,-100.0,46,27,40.69,2.0,19.5,72.5,0,32,2,2016,0,1,0,1
15,2015-03-04 21:23:55,-0.23561600000000027,0.09643299999999044,-0.04749800000000093,0.08689499999999839,0,-100.0,-100.0,57,37,43.29,4.0,22.5,88.5,21,23,3,2015,2,4,0,0
16,2015-05-01 23:04:31,-0.09938300000000311,-0.10406299999999646,-0.2513210000000008,-0.1078239999999937,3,-100.0,-100.0,5,44,68.19,5.0,28.5,77.0,23,4,5,2015,4,1,0,1
17,2015-04-28 17:23:01,-100.0,-100.0,-100.0,-100.0,5,-100.0,-100.0,24,28,37.36,-100.0,-100.0,-100.0,17,23,4,2015,1,28,0,0
18,2016-02-02 08:49:53,-0.021446000000000964,0.24404799999999227,0.04778400000000005,0.34596799999999917,3,-100.0,-100.0,34,36,31.38,0.0,13.0,80.5,8,49,2,2016,1,2,0,1
19,2016-05-06 08:56:01,0.12558200000000141,0.018243999999995708,0.18011600000000172,-0.020486000000005333,6,-100.0,-100.0,50,26,548.3,3.0,25.5,83.0,8,56,5,2016,4,6,1,0
20,2015-10-15 12:20:28,-0.16054299999999877,0.2629829999999913,0.07723700000000022,0.273736999999997,2,5.0,3.0,13,40,388.63,0.0,13.0,80.5,12,20,10,2015,3,15,1,0
21,2016-02-14 23:08:07,0.3779749999999993,-0.3528040000000061,0.38965999999999923,-0.36101100000000486,4,-100.0,-100.0,20,14,62.35,2.0,19.5,72.5,23,8,2,2016,6,14,0,1
22,2015-09-23 11:25:11,0.06012199999999979,0.009777999999997178,-0.09871599999999958,-0.10340100000000518,3,-100.0,-100.0,51,36,32.5,1.0,13.0,77.5,11,25,9,2015,2,23,0,1
23,2016-11-21 11:54:36,-0.14508599999999916,0.2598990000000043,0.07054100000000041,0.34616199999999253,2,6.0,17.0,5,30,300.81,0.0,13.0,80.5,11,54,11,2016,0,21,1,0
24,2015-06-18 03:55:57,-0.16566700000000267,0.07043799999999578,-0.10364599999999768,0.11823599999999601,4,-100.0,-100.0,5,22,61.82,4.0,22.5,88.5,3,55,6,2015,3,18,0,1
25,2015-05-15 15:12:12,0.21030100000000118,0.02624899999999286,0.18549600000000055,0.03412900000000718,6,-100.0,-100.0,61,37,555.5,3.0,25.5,83.0,15,12,5,2015,4,15,1,0
26,2016-04-06 14:30:12,-0.06340300000000099,0.09882100000000094,-0.18129100000000165,0.057706999999993513,3,-100.0,-100.0,12,34,36.33,4.0,22.5,88.5,14,30,4,2016,2,6,0,1
27,2015-01-25 04:32:15,-100.0,-100.0,-100.0,-100.0,4,-100.0,-100.0,9,25,37.07,-100.0,-100.0,-100.0,4,32,1,2015,6,25,0,1
28,2016-06-27 16:03:30,-0.030526000000000053,0.25315700000000163,0.07788099999999964,0.25921400000000006,5,-100.0,-100.0,58,37,44.69,0.0,13.0,80.5,16,3,6,2016,0,27,0,0
29,2015-12-08 04:34:02,0.07966499999999854,-0.028641000000007466,-0.12077699999999858,-0.027214999999998213,6,-100.0,-100.0,59,34,380.32,1.0,13.0,77.5,4,34,12,2015,1,8,1,0
30,2016-07-06 19:04:45,0.14341899999999974,-0.21661899999999434,0.11690099999999859,-0.008599000000003798,0,-100.0,-100.0,31,32,32.53,1.0,13.0,77.5,19,4,7,2016,2,6,0,0
31,2015-03-11 17:39:03,0.15621999999999936,-0.07389399999999569,0.0018710000000012883,-0.01656099999999583,3,-100.0,-100.0,76,45,35.97,1.0,13.0,77.5,17,39,3,2015,2,11,0,1
32,2016-12-01 06:07:29,0.41582700000000017,-0.3586389999999966,0.25247699999999895,-0.38215500000001157,2,4.0,11.0,14,21,379.46,2.0,19.5,72.5,6,7,12,2016,3,1,1,0
33,2015-03-10 19:01:34,-100.0,-100.0,-100.0,-100.0,6,-100.0,-100.0,5,22,234.67,-100.0,-100.0,-100.0,19,1,3,2015,1,10,1,0
34,2015-05-11 05:21:22,0.05244299999999846,0.2891740000000027,0.09231400000000001,0.30268599999999424,0,-100.0,-100.0,46,46,25.61,0.0,13.0,80.5,5,21,5,2015,0,11,0,0
35,2016-06-11 21:37:45,0.18231099999999856,0.01973100000000727,0.13134299999999755,0.016671999999999798,4,-100.0,-100.0,35,24,73.77,3.0,25.5,83.0,21,37,6,2016,5,11,0,1
36,2016-11-08 16:11:36,-0.02409699999999937,-0.17379999999999995,0.051313000000000386,-0.045509999999993056,6,-100.0,-100.0,3,34,254.7,1.0,13.0,77.5,16,11,11,2016,1,8,1,0
